N,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
3789,9/24/1951,Show Boat,2300000,11000000,11000000
3790,5/1/1998,"Dancer, Texas Pop. 81",2300000,574838,574838
3791,8/26/2011,Redemption Road,2300000,29384,29384
3792,11/13/1940,Fantasia,2280000,83320000,83320000
3793,8/13/1982,Friday the 13th Part 3,2250000,36690067,36690067
3794,10/9/1971,The French Connection,2200000,41158757,41158757
3795,3/22/1985,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418
3796,2/9/2007,The Last Sin Eater,2200000,388390,388390
3797,12/31/2008,Impact Point,2200000,0,0
3798,1/1/1945,The Valley of Decision,2160000,9132000,9132000
3799,12/31/2005,Chicken Tikka Masala,2160000,0,0
3800,11/21/1946,The Best Years of Our Lives,2100000,23600000,23600000
3801,7/13/2001,Bully,2100000,881824,1381824
3802,5/29/2002,Elling,2100000,313436,313436
3803,7/14/2009,[Rec],2100000,0,27117954
3804,3/21/2014,God’s Not Dead,2000000,60755732,60755732
3805,9/30/2011,Courageous,2000000,34522221,35185884
3806,6/15/2007,Nancy Drew,2000000,25584685,30703845
3807,4/8/1964,From Russia With Love,2000000,24800000,78900000
3808,5/21/1982,Mad Max 2: The Road Warrior,2000000,24600832,24600832
3809,1/1/1946,Notorious,2000000,24464742,24464742
3810,8/2/1967,In the Heat of the Night,2000000,24379978,24379978
3811,12/17/1973,Sleeper,2000000,18344729,18344729
3812,8/11/1972,Everything You Always Wanted to Know,2000000,18016290,18016290
3813,8/22/2012,Hit & Run,2000000,13749300,14984401
3814,12/25/1962,To Kill A Mockingbird,2000000,13129846,13129846
3815,3/9/2012,Silent House,2000000,12739737,16610760
3816,10/20/2000,The Legend of Drunken Master,2000000,11546543,11546543
3817,10/8/1999,Boys Don't Cry,2000000,11540607,20741000
3818,2/9/2007,Das Leben der Anderen,2000000,11284657,81197047
3819,1/1/1962,Lolita (1962),2000000,9250000,9250000
3820,1/1/1940,Boom Town,2000000,9172000,9172000
3821,1/1/1947,Gentleman's Agreement,2000000,7800000,7800000
3822,9/25/1961,The Hustler,2000000,7600000,7600000
3823,12/31/1986,Witchboard,2000000,7369373,7369373
3824,11/26/2003,Les Triplettes de Belleville,2000000,7301288,14440113
3825,6/26/1998,Smoke Signals,2000000,6719300,7756617
3826,6/11/2010,Winter's Bone,2000000,6531503,16131552
3827,8/15/2003,American Splendor,2000000,6003587,8685632
3828,7/2/2004,Before Sunset,2000000,5792822,11293790
3829,3/30/2001,Amores Perros,2000000,5383834,20883834
3830,8/20/2003,Thirteen,2000000,4601043,9505996
3831,1/23/2004,Touching the Void,2000000,4593598,15396525
3832,10/8/2010,Inside Job,2000000,4311834,7799257
3833,1/1/1938,Alexander's Ragtime Band,2000000,4000000,4000000
3834,6/17/2005,Me and You and Everyone We Know,2000000,3885134,8425527
3835,11/10/2006,Harsh Times,2000000,3337931,6225304
3836,3/3/2000,Ghost Dog: Way of the Samurai,2000000,3330230,6030230
3837,8/2/2002,Full Frontal,2000000,2512846,3438804
3838,12/25/2008,Waltz with Bashir,2000000,2283849,11125664
3839,6/28/2006,Strangers with Candy,2000000,2072645,2077844
3840,10/4/2006,Shortbus,2000000,1985292,1985292
3841,5/2/2008,Son of Rambow: A Home Movie,2000000,1785505,10573083
3842,9/12/2003,"The Book of Mormon Movie, Volume 1: The Journey",2000000,1660865,1660865
3843,5/12/2000,Hamlet,2000000,1577287,2419669
3844,7/27/2007,No End In Sight,2000000,1433319,1433319
3845,4/30/1999,Get Real,2000000,1152411,1152411
3846,9/7/2007,In the Shadow of the Moon,2000000,1134358,1134358
3847,4/8/2011,Meek's Cutoff,2000000,977772,1869928
3848,2/11/2005,Inside Deep Throat,2000000,691880,691880
3849,9/28/2001,Dinner Rush,2000000,638227,1075504
3850,9/24/2010,The Virginity Hit,2000000,636706,636706
3851,5/15/1998,Clockwatchers,2000000,537948,539961
3852,11/6/1985,Subway,2000000,390659,1663296
3853,4/15/2005,House of D,2000000,388532,466106
3854,1/18/2008,Teeth,2000000,347578,2350641
3855,7/26/1996,Stonewall,2000000,304602,304602
3856,9/8/2006,Sherrybaby,2000000,199176,622806
3857,9/18/1998,Six-String Samurai,2000000,134624,134624
3858,5/26/2000,Hum to Mohabbt Karega,2000000,121807,121807
3859,4/15/2005,It's All Gone Pete Tong,2000000,120620,1620620
3860,1/29/2010,Saint John of Las Vegas,2000000,102645,102645
3861,4/15/1998,24 7: Twenty Four Seven,2000000,72544,72544
3862,9/19/2014,Pump,2000000,72277,72277
3863,10/24/2008,Roadside Romeo,2000000,55202,2046090
3864,5/4/2001,Eureka,2000000,49388,76654
3865,7/18/2003,This Thing of Ours,2000000,37227,37227
3866,3/20/2009,Super Capers,2000000,30955,30955
3867,1/1/1993,Return of the Living Dead 3,2000000,21000,21000
3868,11/20/2009,The Missing Person,2000000,17896,17896
3869,2/10/2006,London,2000000,12667,12667
3870,6/11/2010,Jerusalema,2000000,7294,7294
3871,6/23/2006,Say Uncle,2000000,5361,5361
3872,9/9/2011,Grave Encounters,2000000,0,2151887
3873,12/10/2004,Freeze Frame,2000000,0,91062
3874,3/19/2013,Straight A's,2000000,0,0
3875,3/30/2012,The Legend of Hell's Gate: An American Conspiracy,2000000,0,0
3876,12/31/2012,Highway,2000000,0,0
3877,8/12/1927,Wings,2000000,0,0
3878,7/7/2007,Rockaway,2000000,0,0
3879,10/14/2008,No Man's Land: The Rise of Reeker,2000000,0,0
3880,4/28/1971,Bananas,2000000,0,0
3881,7/9/2013,Coffee Town,2000000,0,0
3882,12/31/2014,Lucky Dog,2000000,0,0
3883,12/31/2001,Pendulum,2000000,0,0
3884,12/31/2007,Slacker Uprising,2000000,0,0
3885,9/24/2010,Buried,1987650,1044143,21270290
3886,7/25/2008,Man on Wire,1900000,2962242,5617067
3887,10/8/2010,Nowhere Boy,1900000,1445366,7785229
3888,7/11/2003,Northfork,1900000,1420578,1445140
3889,6/3/2011,Submarine,1900000,467602,4581937
3890,4/9/2010,The Square,1900000,406216,684214
3891,6/29/2007,Chacun sa nuit,1900000,18435,18435
3892,8/27/2010,The Last Exorcism,1800000,41034350,70165900
3893,11/16/1976,Carrie,1800000,25878153,25878153
3894,11/9/1984,A Nightmare on Elm Street,1800000,25504513,25504513
3895,6/27/2012,Beasts of the Southern Wild,1800000,12795746,21911774
3896,1/29/1964,Dr. Strangelove,1800000,9164370,9164370
3897,1/1/1973,Battle for the Planet of the Apes,1800000,8800000,8800000
3898,9/18/1951,A Streetcar Named Desire,1800000,8000000,8000000
3899,8/3/1968,Hang 'em High,1800000,6800000,6800000
3900,11/15/2002,El crimen de padre Amaro,1800000,5719000,5719000
3901,6/15/2001,Songcatcher,1800000,3050934,3050934
3902,8/23/2011,Higher Ground,1800000,841056,859182
3903,4/22/2011,POM Wonderful Presents: The Greatest Movie Ever Sold,1800000,638476,638476
3904,1/7/2005,Travellers and Magicians,1800000,506793,1058893
3905,1/1/1993,Ed and his Dead Mother,1800000,673,673
3906,6/18/1999,Run Lola Run,1750000,7267324,14533173
3907,2/7/2003,May,1750000,145540,497339
3908,10/8/2010,I Spit on Your Grave,1750000,93051,1278471
3909,12/31/2013,Living Dark: The Story of Ted the Caver,1750000,0,0
3910,11/23/2001,In the Bedroom,1700000,35930604,43430604
3911,1/1/1972,Conquest of the Planet of the Apes,1700000,9700000,9700000
3912,10/4/2013,Grace Unplugged,1700000,2507159,2507159
3913,10/1/1999,"Happy, Texas",1700000,2039192,2891228
3914,6/17/2005,My Summer of Love,1700000,1000915,4951476
3915,6/24/2005,Yes,1700000,396035,661221
3916,8/5/1953,From Here to Eternity,1650000,30500000,30500000
3917,1/1/1938,You Can't Take It With You,1644000,4000000,4000000
3918,4/9/1999,Foolish,1600000,6026908,6026908
3919,1/1/1949,She Wore a Yellow Ribbon,1600000,5400000,5400000
3920,4/7/1974,The Conversation,1600000,4420000,4420000
3921,10/15/2010,N-Secure,1600000,2595644,2595644
3922,2/1/2008,Sukkar banat,1600000,1060591,14253760
3923,12/31/1989,Out of the Dark,1600000,419428,419428
3924,1/27/2006,Bubble,1600000,145382,145382
3925,9/23/2005,Dil Jo Bhi Kahey...,1600000,129319,129319
3926,1/15/1999,Mississippi Mermaid,1600000,27795,2627795
3927,11/4/2005,I Love Your Work,1600000,3264,3264
3928,2/11/2011,MOOZ-lum,1549141,362239,362239
3929,4/1/2011,Insidious,1500000,54009150,99870886
3930,9/12/2003,Cabin Fever,1500000,21158188,30351664
3931,5/2/2007,Waitress,1500000,19097550,22217183
3932,9/8/1989,Kickboxer,1500000,14533681,14533681
3933,2/26/1988,Bloodsport,1500000,11806119,11806119
3934,1/1/1939,Mr. Smith Goes To Washington,1500000,9000000,9000000
3935,7/21/1995,Kids,1500000,7412216,20412216
3936,10/5/2005,The Squid and the Whale,1500000,7372734,11191423
3937,3/13/2002,Kissing Jessica Stein,1500000,7025722,8831884
3938,10/31/1945,Spellbound,1500000,7000000,7000000
3939,4/20/1979,Dawn of the Dead,1500000,5100000,55000000
3940,9/23/1994,Exotica,1500000,5046118,5046118
3941,7/26/2013,The To Do List,1500000,3491669,3491669
3942,2/1/2013,The Gatekeepers,1500000,2408553,2408553
3943,6/26/1998,Buffalo '66,1500000,2380606,2380606
3944,3/2/1984,Repo Man,1500000,2300000,2300000
3945,1/18/1985,Blood Simple,1500000,1690913,2730877
3946,4/19/2002,Nueve Reinas,1500000,1222889,12412889
3947,3/25/2005,The Ballad of Jack and Rose,1500000,712294,1126258
3948,8/31/1994,Killing Zoe,1500000,418953,418953
3949,8/10/2001,Session 9,1500000,378176,1619602
3950,9/5/2007,I Want Someone To Eat Cheese With,1500000,194568,194568
3951,8/19/2011,Amigo,1500000,184705,184705
3952,2/5/1936,Modern Times,1500000,163245,163245
3953,5/11/2007,The Salon,1500000,139084,139084
3954,3/22/2002,Stolen Summer,1500000,119841,119841
3955,9/28/2005,Forty Shades of Blue,1500000,75828,172569
3956,10/9/2009,Trucker,1500000,52429,52429
